,underlying_price,base_volatility,skew,kurtosis
2019-01-25,20773.56,0.16716594642857144,0.03977376785714287,0.008767776785714276
2019-01-28,20649.0,0.1749477857142857,0.050548642857142834,0.006568892857142877
2019-01-29,20664.64,0.17298987500000002,0.054532625,0.008379062499999979
2019-01-30,20556.54,0.18138635714285717,0.03862678571428571,0.004823535714285676
2019-01-31,20773.49,0.16180426785714286,0.04399971428571425,0.01059471428571429
2019-02-01,20788.39,0.15612414285714285,0.04468578571428569,0.007684107142857138
2019-02-04,20883.77,0.14863516071428573,0.04680175,0.009222964285714286
2019-02-05,20844.45,0.14162550000000002,0.03500950000000003,0.006853749999999992
2019-02-08,20333.17,0.1711941857142857,0.05425042857142856,0.006409114285714307
2019-02-12,20864.21,0.15899180000000002,0.032542899999999986,0.004680149999999966
2019-02-13,21144.48,0.1565536857142857,0.017465442857142854,0.007900550000000006
2019-02-14,21139.71,0.1524945857142857,0.01723347142857143,0.0062856500000000315
2019-02-15,20900.63,0.15803435714285716,0.0361838571428571,0.009165571428571412
2019-02-18,21281.85,0.15534234285714288,0.01973597142857142,0.007044899999999965
2019-02-19,21302.65,0.159592,0.030699100000000007,0.00832784999999997
2019-02-20,21431.49,0.15884223809523812,0.026573285714285744,0.0056716190476190365
2019-02-21,21464.23,0.15042904285714287,0.022259200000000007,0.006425542857142863
2019-02-22,21425.51,0.14743368571428572,0.025850571428571445,0.007974457142857133
2019-02-25,21528.23,0.14845842857142857,0.015244142857142845,0.008217642857142854
2019-02-26,21449.39,0.14290969999999997,0.02197159999999998,0.0064506000000000285
2019-02-27,21556.51,0.14117711428571428,0.022329071428571434,0.007013078571428577
2019-02-28,21385.16,0.13875118571428574,0.028889442857142872,0.01032626428571426
2019-03-01,21602.69,0.14201917142857146,0.021894485714285733,0.004702142857142821
2019-03-04,21822.04,0.14239205714285716,0.019152057142857115,0.007734257142857137
2019-03-05,21726.28,0.14329329999999998,0.021094399999999985,0.00927360000000002
2019-03-06,21596.81,0.14845704285714287,0.027824085714285685,0.010645242857142856
2019-03-07,21456.01,0.15450185714285714,0.04126142857142859,0.013188000000000033
2019-03-08,21025.56,0.17097600000000002,0.050950999999999996,0.005254499999999995
2019-03-11,21125.09,0.16048449999999997,0.035107,0.007621500000000031
2019-03-12,21503.69,0.1489595,0.023431500000000022,0.007634749999999996
2019-03-13,21290.24,0.15928578571428573,0.04200355357142854,0.0008496874999999737
2019-03-14,21287.02,0.14825660714285716,0.02150214285714286,0.004002464285714297
2019-03-15,21450.85,0.13979744642857145,0.02412382142857139,0.0043598035714285666
2019-03-18,21584.5,0.13991739285714289,0.013193928571428565,0.00360285714285713
2019-03-19,21566.85,0.13526475,0.025847874999999992,0.007794187499999994
